title,current_price,former_price,discount
"Hp Stream  14""   Intel Celeron, (4GB RAM, 64GB SSD), Windows 10+ 32gb Flash&USB Light",165000,282150,32%
Acer Nitro 17 Gaming 1tb/16gb Ram RTX 4050 AMD RYZEN 7,1650000,1770000,25%
"Hp CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM,16GB SSD + FLASH",100000,540000,16%
Asus Vivobook X1500MA-BR415W Intel® Celeron® DDR4 4GB 1TB HDD 15.6-inch HD,305000,450000,34%
Hp ProBook 11 X360 128GB TOUCH Intel PENTIUM 8GB RAM WIN10 Pro,240000,300000,32%
Hp Stream 11 PRO Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ USB Light For Keyboard,135000,900000,50%
"Apple MacBook Pro 16"" Laptop - M3 Pro Chip - 18GB  18-core GPU - 512GB SSD - Space Black",3550000,400000,3%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,290000,36%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+BAG,485000,550000,13%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/256GB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop +BAG,465000,200000,3%
"DELL Latitude 3190 Intel Pentium 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light",200000,1990000,5%
Hp CHROMEBOOK 11 TOUCH INTEL CELERON 4GB RAM 16GB SSD,120000,790000,11%
Hp Stream 11 Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10,122000,170000,24%
15.6 Inch Laptop Sleeve Case With Handle Pocket Briefcase Waterproof HandBag,20910,799000,32%
Hp EliteBook 830 G6 Intel Core I5-16GB RAM/512GB SSD-TOUCHSCREEN/Backlit Keyboard/FP Reader Win 11+BAG,465000,614000,79%
"Hp 15 VICTUS GAMING, 13TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (6GB) WINS 11",1321000,199000,25%
"Multifunctional Laptop Foldable Table,Bed Side Table",16999,150000,22%
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,512GB SSD WIN 11 + Light",240000,900000,44%
Hp EliteBook 840 G6 Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,545000,470000,26%
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" Nvidia RTX 4050 6GB WINS 11",1799000,399000,40%
"Hp CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM,32GB SSD",100000,1666000,83%
